Data,Endereço IP,País,Origem,Ação,Host
07/07/2024 10:19,45.87.9.13,DE,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,15.229.46.138,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,194.38.18.62,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,209.242.212.46,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,15.228.200.244,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,52.67.11.47,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,161.123.158.124,BR,Bot-Mitigation,Block,assinatura.wiz.co
07/07/2024 10:19,142.93.240.190,US,Bot-Mitigation,Challenge,www.wiz.co
07/07/2024 10:08,147.182.161.209,US,Bot-Mitigation,Challenge,bmg-sb.wiz.co
07/07/2024 10:00,40.116.89.23,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
07/07/2024 10:00,40.116.89.23,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
07/07/2024 09:36,157.230.58.175,US,Bot-Mitigation,Challenge,basa-sb.wiz.co
07/07/2024 09:12,107.180.119.205,US,Bot-Mitigation,Challenge,www.wiz.co
07/07/2024 09:02,23.26.220.31,IN,Bot-Mitigation,Block,www.wiz.co
07/07/2024 07:54,159.223.158.180,US,Bot-Mitigation,Challenge,wpro-sb.wiz.co
07/07/2024 07:05,159.223.164.199,US,Bot-Mitigation,Challenge,assinatura.wiz.co
07/07/2024 06:32,157.245.130.135,US,Bot-Mitigation,Challenge,bmg-wconnect.wiz.co
07/07/2024 06:06,150.138.73.217,CN,Firewall,Block,www.wiz.co
07/07/2024 06:02,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,204.101.161.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,204.101.161.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,204.101.161.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:01,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:00,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 06:00,207.102.138.19,CA,Bot-Mitigation,Challenge,curt.wiz.co
07/07/2024 05:40,220.231.144.20,CN,Firewall,Block,www.wiz.co
07/07/2024 02:01,154.31.248.34,HK,Firewall,Block,www.wiz.co
07/07/2024 01:37,206.168.34.45,US,Bot-Mitigation,Challenge,monitoramento.wiz.co
07/07/2024 01:10,199.45.155.101,US,Bot-Mitigation,Challenge,senddrive.wiz.co
07/07/2024 00:50,206.168.34.221,US,Bot-Mitigation,Challenge,wlog.wiz.co
07/07/2024 00:36,167.94.138.42,US,Bot-Mitigation,Challenge,conseg-sb.wiz.co
07/07/2024 00:27,167.94.146.58,US,Bot-Mitigation,Challenge,conseg-sb.wiz.co
07/07/2024 00:16,147.182.218.194,US,Bot-Mitigation,Challenge,tonawiz.wiz.co
07/07/2024 00:02,154.31.248.34,HK,Firewall,Block,www.wiz.co
06/07/2024 23:51,135.148.100.196,US,Bot-Mitigation,Challenge,pbseg-sb.wiz.co
06/07/2024 23:47,162.142.125.219,US,Bot-Mitigation,Challenge,senddrive.wiz.co
